Date,Open,High,Low,Close,Adj Close,Volume,Log Daily Returns,Volume Change,30-Day Volatility
2000-06-05,10793.1103515625,10863.0,10752.2802734375,10815.2998046875,10815.2998046875,151120000,0.0019009707197810536,-0.24778496764559488,0.013078550970546858
2000-06-06,10822.6103515625,10822.6103515625,10707.7197265625,10735.5703125,10735.5703125,169370000,-0.007399223837325377,0.12076495500264683,0.013097190827786712
2000-06-07,10733.48046875,10848.3798828125,10695.1796875,10812.8603515625,10812.8603515625,154430000,0.007173642639690328,-0.08820924602940305,0.012612325117338063
2000-06-08,10818.7802734375,10823.66015625,10635.73046875,10668.7197265625,10668.7197265625,176280000,-0.013420129038756811,0.1414880528394742,0.012504040476776468
2000-06-09,10678.4697265625,10763.76953125,10588.2900390625,10614.0595703125,10614.0595703125,136750000,-0.0051365731579225676,-0.2242455184933061,0.012502585237448141
2000-06-12,10615.1201171875,10652.58984375,10564.2099609375,10564.2099609375,10564.2099609375,136750000,-0.004707627444661252,0.0,0.012268633082087648
2000-06-13,10562.3095703125,10654.7197265625,10492.7900390625,10621.83984375,10621.83984375,155190000,0.005440374726413971,0.13484460694698353,0.012233931167114647
2000-06-14,10632.4599609375,10737.7099609375,10624.6796875,10687.9501953125,10687.9501953125,166340000,0.006204712813851724,0.07184741284876606,0.012223148955379917
2000-06-15,10689.6298828125,10763.7001953125,10669.2099609375,10714.8203125,10714.8203125,176200000,0.0025109021558557725,0.05927618131537815,0.011391363815292311
2000-06-16,10717.759765625,10724.830078125,10449.2998046875,10449.2998046875,10449.2998046875,233100000,-0.025092887239769966,0.32292849035187277,0.012271067012177141
2000-06-19,10448.400390625,10597.4404296875,10440.1103515625,10557.83984375,10557.83984375,169330000,0.010333725272061754,-0.2735735735735736,0.012071037715956186
2000-06-20,10558.900390625,10561.3798828125,10407.9404296875,10435.16015625,10435.16015625,179000000,-0.011687808702939732,0.05710742337447594,0.012244411396696723
2000-06-21,10446.830078125,10521.0703125,10410.0595703125,10497.740234375,10497.740234375,204540000,0.005979129828503432,0.14268156424581013,0.012249771342359958
2000-06-22,10495.9697265625,10495.9697265625,10335.4599609375,10376.1201171875,10376.1201171875,189280000,-0.01165299483585485,-0.07460643394934974,0.012072387058636651
2000-06-23,10376.4697265625,10478.650390625,10376.4697265625,10404.75,10404.75,142390000,0.002755409255232248,-0.24772823330515636,0.011652584865010777
2000-06-26,10403.6904296875,10566.6796875,10403.6904296875,10542.990234375,10542.990234375,157390000,0.013198773681332992,0.10534447643795208,0.01186232260842481
2000-06-27,10541.580078125,10615.830078125,10504.4599609375,10504.4599609375,10504.4599609375,159240000,-0.003661281164360024,0.011754241057246428,0.011333686426247127
2000-06-28,10506.3896484375,10620.419921875,10506.3896484375,10527.7900390625,10527.7900390625,189270000,0.0022185061221476968,0.18858327053504143,0.011100043929568594
2000-06-29,10523.900390625,10523.900390625,10359.5,10398.0400390625,10398.0400390625,168670000,-0.01240110068145264,-0.10883922438843985,0.010990571606659083
2000-06-30,10393.08984375,10448.240234375,10336.16015625,10447.8896484375,10447.8896484375,224060000,0.004782679894256039,0.3283927195114722,0.011039702456542127
2000-07-03,10450.3603515625,10565.6201171875,10422.080078125,10560.669921875,10560.669921875,74690000,0.010736705338675408,-0.6666517896991877,0.010958989914955856
2000-07-05,10538.23046875,10572.6904296875,10463.1796875,10483.599609375,10483.599609375,154490000,-0.007324621741258727,1.0684161199625115,0.010943989599272329
2000-07-06,10481.4501953125,10527.7900390625,10393.08984375,10481.4697265625,10481.4697265625,147120000,-0.0002031839519058496,-0.04770535309728785,0.01073458728439355
2000-07-07,10483.330078125,10658.25,10483.330078125,10635.98046875,10635.98046875,158820000,0.014633726900696607,0.07952691680261004,0.010887287601195337
2000-07-10,10627.1396484375,10703.150390625,10604.8603515625,10646.580078125,10646.580078125,148470000,0.0009960841157295832,-0.06516811484699658,0.010169103671989381
2000-07-11,10649.0595703125,10807.4501953125,10626.7900390625,10727.1904296875,10727.1904296875,160920000,0.007542958668404768,0.08385532430794096,0.010215606784559949
2000-07-12,10722.240234375,10834.3203125,10722.240234375,10783.759765625,10783.759765625,151430000,0.005259597166278305,-0.05897340293313447,0.009488640589823823
2000-07-13,10774.919921875,10829.73046875,10754.419921875,10788.7099609375,10788.7099609375,175240000,0.00045893636307103066,0.1572343657135311,0.009485924680117155
2000-07-14,10793.3095703125,10821.9501953125,10753.7099609375,10812.75,10812.75,150970000,0.0022257800195628922,-0.13849577721981288,0.009242620318792208
2000-07-17,10812.400390625,10847.400390625,10749.4697265625,10804.26953125,10804.26953125,162780000,-0.0007846104013366119,0.07822746240975031,0.008922394443808372
2000-07-18,10799.16015625,10799.16015625,10703.0595703125,10739.919921875,10739.919921875,170620000,-0.005973749987507373,0.04816316500798634,0.008981075503449721
2000-07-19,10724.150390625,10790.48046875,10685.48046875,10696.080078125,10696.080078125,213930000,-0.004090306481829632,0.2538389403352479,0.008910071400223122
2000-07-20,10700.6796875,10874.6298828125,10700.6796875,10843.8701171875,10843.8701171875,178590000,0.013722627667807113,-0.16519422240919923,0.009171395725882056
2000-07-21,10843.509765625,10851.650390625,10716.150390625,10733.5595703125,10733.5595703125,170710000,-0.010224712535578448,-0.04412341116523877,0.00902642663228326
2000-07-24,10731.4404296875,10778.1103515625,10678.400390625,10685.1201171875,10685.1201171875,147970000,-0.004523111266900135,-0.13320836506355804,0.00901460263085505
2000-07-25,10689.2802734375,10744.51953125,10680.169921875,10699.9697265625,10699.9697265625,168950000,0.0013887817979929048,0.14178549706021482,0.00896822917601501
2000-07-26,10689.3603515625,10692.5498046875,10516.48046875,10516.48046875,10516.48046875,201880000,-0.01729731703995295,0.194909736608464,0.00947622594147986
2000-07-27,10516.830078125,10643.400390625,10516.830078125,10586.1298828125,10586.1298828125,160760000,0.006601047530102743,-0.20368535763820095,0.009485924983263054
2000-07-28,10594.9697265625,10649.0595703125,10464.5,10511.169921875,10511.169921875,174720000,-0.007106148850436045,0.08683752177158488,0.009549278810236218
2000-07-31,10514.2900390625,10603.2900390625,10497.7998046875,10521.98046875,10521.98046875,175820000,0.0010279532667408062,0.0062957875457876344,0.008359486920464109
2000-08-01,10523.8095703125,10626.919921875,10516.759765625,10606.9501953125,10606.9501953125,151420000,0.0080430179805685,-0.13877829598452962,0.008274050641647091
2000-08-02,10609.150390625,10724.5302734375,10587.5400390625,10687.5302734375,10687.5302734375,163400000,0.00756820180354913,0.0791176859067495,0.00806801476044904
2000-08-03,10679.3701171875,10744.3095703125,10623.4404296875,10706.580078125,10706.580078125,161580000,0.001780846168317007,-0.011138310893512804,0.008011231914292037
2000-08-04,10713.3603515625,10769.9501953125,10664.4599609375,10767.75,10767.75,150750000,0.0056970426642527884,-0.06702562198291873,0.00771264189485623
2000-08-07,10773.98046875,10892.2802734375,10736.98046875,10867.009765625,10867.009765625,145090000,0.009176017036116084,-0.03754560530679929,0.00784424915706765
2000-08-08,10865.150390625,10988.25,10836.6103515625,10976.8896484375,10976.8896484375,204720000,0.010060548944661097,0.41098628437521545,0.0077017871464919495
2000-08-09,10970.9404296875,10978.26953125,10892.650390625,10905.830078125,10905.830078125,186430000,-0.00649460587843644,-0.08934153966393121,0.0077822379673782895
2000-08-10,10901.0595703125,10946.490234375,10886.7900390625,10908.759765625,10908.759765625,144290000,0.0002685989091335699,-0.2260365820951563,0.007782012191027827
